staff_id,first_name,last_name,phone,email,active,manager_id
1,Fabiola,Jackson,,fabiola.jackson@bikes.shop,1,
2,Mireya,Copeland,,mireya.copeland@bikes.shop,1,1.0
3,Genna,Serrano,,genna.serrano@bikes.shop,1,2.0
4,Virgie,Wiggins,,virgie.wiggins@bikes.shop,1,2.0
5,Jannette,David,,jannette.david@bikes.shop,1,1.0
6,Marcelene,Boyer,,marcelene.boyer@bikes.shop,1,5.0
7,Venita,Daniel,,venita.daniel@bikes.shop,1,5.0
8,Kali,Vargas,,kali.vargas@bikes.shop,1,1.0
9,Layla,Terrell,,layla.terrell@bikes.shop,1,7.0
10,Bernardine,Houston,,bernardine.houston@bikes.shop,1,7.0
